国家名称,死亡人数,治愈人数,现存确诊,累计确诊
坦桑尼亚,21,167,321,509
蒙古,0,24,300,324
摩纳哥,3,3,262,268
根西岛,13,0,246,259
开曼群岛,2,0,231,233
巴巴多斯,7,0,215,222
百慕大,9,0,179,188
柬埔寨,0,122,163,285
钻石公主号邮轮,13,574,154,741
荷兰加勒比地区,3,0,147,150
列支敦士登,1,117,117,235
安提瓜和巴布达,3,0,116,119
毛里求斯,10,325,84,419
北马里亚纳群岛联邦,2,0,84,86
圣巴泰勒米岛,0,0,72,72
英属维尔京群岛,1,0,71,72
圣文森特和格林纳丁斯,0,0,67,67
圣卢西亚,0,0,36,36
多米尼克,0,0,33,33
斐济,2,0,30,32
东帝汶,0,0,29,29
新喀里多尼亚,0,0,27,27
格林那达,0,0,27,27
梵蒂冈,0,0,26,26
老挝,0,0,23,23
圣其茨和尼维斯,0,0,19,19
格陵兰,0,0,16,16
圣皮埃尔和密克隆群岛,0,0,16,16
福克兰群岛,0,0,13,13
蒙特塞拉特,1,0,12,13
安圭拉,0,0,3,3
文莱,3,143,1,147
