,国家名称,确诊人数,治愈人数,死亡人数
194,安提瓜和巴布达,119,0,3
195,毛里求斯,419,325,10
196,北马里亚纳群岛联邦,86,0,2
197,圣巴泰勒米岛,72,0,0
198,英属维尔京群岛,72,0,1
199,圣文森特和格林纳丁斯,67,0,0
200,圣卢西亚,36,0,0
201,多米尼克,33,0,0
202,斐济,32,0,2
203,东帝汶,29,0,0
204,新喀里多尼亚,27,0,0
205,格林那达,27,0,0
206,梵蒂冈,26,0,0
207,老挝,23,0,0
208,圣其茨和尼维斯,19,0,0
209,格陵兰,16,0,0
210,圣皮埃尔和密克隆群岛,16,0,0
211,福克兰群岛,13,0,0
212,蒙特塞拉特,13,0,1
213,安圭拉,3,0,0
214,文莱,147,143,3
